Time,Actuator
1,F1
6,OUTW1:0
7,C24
22,C1
42,F37
62,F73
82,F38
102,F74
122,F39
142,F75
162,F40
182,F76
202,F41
222,F77
242,F42
262,F78
282,F43
302,F79
322,F37
327,OUTW37:0
328,C60
343,C37
363,F1
383,F73
403,F2
423,F74
443,F3
463,F75
483,F4
503,F76
523,F5
543,F77
563,F6
583,F78
603,F7
623,F79
643,F73
648,OUTW73:0
649,C96
664,C73
684,F1
704,F37
724,F2
744,F38
764,F3
784,F39
804,F4
824,F40
844,F5
864,F41
884,F6
904,F42
924,F7
944,F43
964,F2
969,OUTW2:0
970,C24
985,C2
1005,F37
1025,F73
1045,F38
1065,F74
1085,F39
1105,F75
1125,F40
1145,F76
1165,F41
1185,F77
1205,F42
1225,F78
1245,F43
1265,F79
1285,F38
1290,OUTW38:0
1291,C60
1306,C38
1326,F1
1346,F73
1366,F2
1386,F74
1406,F3
1426,F75
1446,F4
1466,F76
1486,F5
1506,F77
1526,F6
1546,F78
1566,F7
1586,F79
1606,F74
1611,OUTW74:0
1612,C96
1627,C74
1647,F1
1667,F37
1687,F2
1707,F38
1727,F3
1747,F39
1767,F4
1787,F40
1807,F5
1827,F41
1847,F6
1867,F42
1887,F7
1907,F43
1927,F3
1932,OUTW3:0
1933,C24
1948,C3
1968,F37
1988,F73
2008,F38
2028,F74
2048,F39
2068,F75
2088,F40
2108,F76
2128,F41
2148,F77
2168,F42
2188,F78
2208,F43
2228,F79
2248,F39
2253,OUTW39:0
2254,C60
2269,C39
2289,F1
2309,F73
2329,F2
2349,F74
2369,F3
2389,F75
2409,F4
2429,F76
2449,F5
2469,F77
2489,F6
2509,F78
2529,F7
2549,F79
2569,F75
2574,OUTW75:0
2575,C96
2590,C75
2610,F1
2630,F37
2650,F2
2670,F38
2690,F3
2710,F39
2730,F4
2750,F40
2770,F5
2790,F41
2810,F6
2830,F42
2850,F7
2870,F43
2890,F4
2895,OUTW4:0
2896,C24
2911,C4
2931,F37
2951,F73
2971,F38
2991,F74
3011,F39
3031,F75
3051,F40
3071,F76
3091,F41
3111,F77
3131,F42
3151,F78
3171,F43
3191,F79
3211,F40
3216,OUTW40:0
3217,C60
3232,C40
3252,F1
3272,F73
3292,F2
3312,F74
3332,F3
3352,F75
3372,F4
3392,F76
3412,F5
3432,F77
3452,F6
3472,F78
3492,F7
3512,F79
3532,F76
3537,OUTW76:0
3538,C96
3553,C76
3573,F1
3593,F37
3613,F2
3633,F38
3653,F3
3673,F39
3693,F4
3713,F40
3733,F5
3753,F41
3773,F6
3793,F42
3813,F7
3833,F43
3853,F5
3858,OUTW5:0
3859,C24
3874,C5
3894,F37
3914,F73
3934,F38
3954,F74
3974,F39
3994,F75
4014,F40
4034,F76
4054,F41
4074,F77
4094,F42
4114,F78
4134,F43
4154,F79
4174,F41
4179,OUTW41:0
4180,C60
4195,C41
4215,F1
4235,F73
4255,F2
4275,F74
4295,F3
4315,F75
4335,F4
4355,F76
4375,F5
4395,F77
4415,F6
4435,F78
4455,F7
4475,F79
4495,F77
4500,OUTW77:0
4501,C96
4516,C77
4536,F1
4556,F37
4576,F2
4596,F38
4616,F3
4636,F39
4656,F4
4676,F40
4696,F5
4716,F41
4736,F6
4756,F42
4776,F7
4796,F43
4816,F6
4821,OUTW6:0
4822,C24
4837,C6
4857,F37
4877,F73
4897,F38
4917,F74
4937,F39
4957,F75
4977,F40
4997,F76
5017,F41
5037,F77
5057,F42
5077,F78
5097,F43
5117,F79
5137,F42
5142,OUTW42:0
5143,C60
5158,C42
5178,F1
5198,F73
5218,F2
5238,F74
5258,F3
5278,F75
5298,F4
5318,F76
5338,F5
5358,F77
5378,F6
5398,F78
5418,F7
5438,F79
5458,F78
5463,OUTW78:0
5464,C96
5479,C78
5499,F1
5519,F37
5539,F2
5559,F38
5579,F3
5599,F39
5619,F4
5639,F40
5659,F5
5679,F41
5699,F6
5719,F42
5739,F7
5759,F43
5779,F7
5784,OUTW7:0
5785,C24
5800,C7
5820,F37
5840,F73
5860,F38
5880,F74
5900,F39
5920,F75
5940,F40
5960,F76
5980,F41
6000,F77
6020,F42
6040,F78
6060,F43
6080,F79
6100,F43
6105,OUTW43:0
6106,C60
6121,C43
6141,F1
6161,F73
6181,F2
6201,F74
6221,F3
6241,F75
6261,F4
6281,F76
6301,F5
6321,F77
6341,F6
6361,F78
6381,F7
6401,F79
6421,F79
6426,OUTW79:0
6427,C96
6442,C79
6462,F1
6482,F37
6502,F2
6522,F38
6542,F3
6562,F39
6582,F4
6602,F40
6622,F5
6642,F41
6662,F6
6682,F42
6702,F7
6722,F43
