Time,Actuator
1,F1
6,OUTW1:0
7,C24
22,C1
36,F37
50,F73
64,F38
78,F74
92,F39
106,F75
120,F40
134,F76
148,F41
162,F77
176,F42
190,F78
204,F43
218,F79
232,F44
246,F80
260,F45
274,F46
288,F82
302,F47
316,F83
330,F48
344,F84
358,F49
372,F85
386,F50
400,F86
414,F51
428,F87
442,F52
456,F88
470,F53
484,F89
498,F54
512,F90
526,F55
540,F91
554,F56
568,F92
582,F57
596,F93
610,F58
624,F94
638,F59
652,F95
666,F37
671,OUTW37:0
672,C60
687,C37
701,F1
715,F73
729,F2
743,F74
757,F3
771,F75
785,F4
799,F76
813,F5
827,F77
841,F6
855,F78
869,F7
883,F79
897,F8
911,F80
925,F9
939,F10
953,F82
967,F11
981,F83
995,F12
1009,F84
1023,F13
1037,F85
1051,F14
1065,F86
1079,F15
1093,F87
1107,F16
1121,F88
1135,F17
1149,F89
1163,F18
1177,F90
1191,F19
1205,F91
1219,F20
1233,F92
1247,F21
1261,F93
1275,F22
1289,F94
1303,F23
1317,F95
1331,F73
1336,OUTW73:0
1337,C96
1352,C73
1366,F1
1380,F37
1394,F2
1408,F38
1422,F3
1436,F39
1450,F4
1464,F40
1478,F5
1492,F41
1506,F6
1520,F42
1534,F7
1548,F43
1562,F8
1576,F44
1590,F9
1604,F45
1618,F10
1632,F46
1646,F11
1660,F47
1674,F12
1688,F48
1702,F13
1716,F49
1730,F14
1744,F50
1758,F15
1772,F51
1786,F16
1800,F52
1814,F17
1828,F53
1842,F18
1856,F54
1870,F19
1884,F55
1898,F20
1912,F56
1926,F21
1940,F57
1954,F22
1968,F58
1982,F23
1996,F59
2010,F2
2015,OUTW2:0
2016,C24
2031,C2
2045,F37
2059,F73
2073,F38
2087,F74
2101,F39
2115,F75
2129,F40
2143,F76
2157,F41
2171,F77
2185,F42
2199,F78
2213,F43
2227,F79
2241,F44
2255,F80
2269,F45
2283,F46
2297,F82
2311,F47
2325,F83
2339,F48
2353,F84
2367,F49
2381,F85
2395,F50
2409,F86
2423,F51
2437,F87
2451,F52
2465,F88
2479,F53
2493,F89
2507,F54
2521,F90
2535,F55
2549,F91
2563,F56
2577,F92
2591,F57
2605,F93
2619,F58
2633,F94
2647,F59
2661,F95
2675,F38
2680,OUTW38:0
2681,C60
2696,C38
2710,F1
2724,F73
2738,F2
2752,F74
2766,F3
2780,F75
2794,F4
2808,F76
2822,F5
2836,F77
2850,F6
2864,F78
2878,F7
2892,F79
2906,F8
2920,F80
2934,F9
2948,F10
2962,F82
2976,F11
2990,F83
3004,F12
3018,F84
3032,F13
3046,F85
3060,F14
3074,F86
3088,F15
3102,F87
3116,F16
3130,F88
3144,F17
3158,F89
3172,F18
3186,F90
3200,F19
3214,F91
3228,F20
3242,F92
3256,F21
3270,F93
3284,F22
3298,F94
3312,F23
3326,F95
3340,F74
3345,OUTW74:0
3346,C96
3361,C74
3375,F1
3389,F37
3403,F2
3417,F38
3431,F3
3445,F39
3459,F4
3473,F40
3487,F5
3501,F41
3515,F6
3529,F42
3543,F7
3557,F43
3571,F8
3585,F44
3599,F9
3613,F45
3627,F10
3641,F46
3655,F11
3669,F47
3683,F12
