Time,Actuator
1,F1
6,OUTW1:0
7,C24
22,C1
27,F37
32,F73
37,F38
42,F74
47,F39
52,F75
57,F40
62,F76
67,F41
72,F77
77,F42
82,F78
87,F43
92,F79
97,F44
102,F80
107,F45
112,F46
117,F82
122,F47
127,F83
132,F48
137,F84
142,F49
147,F85
152,F50
157,F86
162,F51
167,F87
172,F52
177,F88
182,F53
187,F89
192,F54
197,F90
202,F55
207,F91
212,F56
217,F92
222,F57
227,F93
232,F58
237,F94
242,F59
247,F95
252,F37
257,OUTW37:0
258,C60
273,C37
278,F1
283,F73
288,F2
293,F74
298,F3
303,F75
308,F4
313,F76
318,F5
323,F77
328,F6
333,F78
338,F7
343,F79
348,F8
353,F80
358,F9
363,F10
368,F82
373,F11
378,F83
383,F12
388,F84
393,F13
398,F85
403,F14
408,F86
413,F15
418,F87
423,F16
428,F88
433,F17
438,F89
443,F18
448,F90
453,F19
458,F91
463,F20
468,F92
473,F21
478,F93
483,F22
488,F94
493,F23
498,F95
503,F73
508,OUTW73:0
509,C96
524,C73
529,F1
534,F37
539,F2
544,F38
549,F3
554,F39
559,F4
564,F40
569,F5
574,F41
579,F6
584,F42
589,F7
594,F43
599,F8
604,F44
609,F9
614,F45
619,F10
624,F46
629,F11
634,F47
639,F12
644,F48
649,F13
654,F49
659,F14
664,F50
669,F15
674,F51
679,F16
684,F52
689,F17
694,F53
699,F18
704,F54
709,F19
714,F55
719,F20
724,F56
729,F21
734,F57
739,F22
744,F58
749,F23
754,F59
759,F2
764,OUTW2:0
765,C24
780,C2
785,F37
790,F73
795,F38
800,F74
805,F39
810,F75
815,F40
820,F76
825,F41
830,F77
835,F42
840,F78
845,F43
850,F79
855,F44
860,F80
865,F45
870,F46
875,F82
880,F47
885,F83
890,F48
895,F84
900,F49
905,F85
910,F50
915,F86
920,F51
925,F87
930,F52
935,F88
940,F53
945,F89
950,F54
955,F90
960,F55
965,F91
970,F56
975,F92
980,F57
985,F93
990,F58
995,F94
1000,F59
1005,F95
1010,F38
1015,OUTW38:0
1016,C60
1031,C38
1036,F1
1041,F73
1046,F2
1051,F74
1056,F3
1061,F75
1066,F4
1071,F76
1076,F5
1081,F77
1086,F6
1091,F78
1096,F7
1101,F79
1106,F8
1111,F80
1116,F9
1121,F10
1126,F82
1131,F11
1136,F83
1141,F12
1146,F84
1151,F13
1156,F85
1161,F14
1166,F86
1171,F15
1176,F87
1181,F16
1186,F88
1191,F17
1196,F89
1201,F18
1206,F90
1211,F19
1216,F91
1221,F20
1226,F92
1231,F21
1236,F93
1241,F22
1246,F94
1251,F23
1256,F95
1261,F74
1266,OUTW74:0
1267,C96
1282,C74
1287,F1
1292,F37
1297,F2
1302,F38
1307,F3
1312,F39
1317,F4
1322,F40
1327,F5
1332,F41
1337,F6
1342,F42
1347,F7
1352,F43
1357,F8
1362,F44
1367,F9
1372,F45
1377,F10
1382,F46
1387,F11
1392,F47
1397,F12
1402,F48
1407,F13
1412,F49
1417,F14
1422,F50
1427,F15
1432,F51
1437,F16
1442,F52
1447,F17
1452,F53
1457,F18
1462,F54
1467,F19
1472,F55
1477,F20
1482,F56
1487,F21
1492,F57
1497,F22
