Time,Actuator
1,F1
3,OUTW1:0
4,C24
6,C1
8,F37
10,F73
12,F38
14,F74
16,F39
18,F75
20,F40
22,F76
24,F41
26,F77
28,F42
30,F78
32,F43
34,F79
36,F44
38,F80
40,F45
42,F81
44,F46
46,F82
48,F47
50,F83
52,F48
54,F84
56,F49
58,F85
60,F50
62,F86
64,F51
66,F87
68,F52
70,F88
72,F53
74,F89
76,F54
78,F90
80,F55
82,F91
84,F56
86,F92
88,F57
90,F93
92,F58
94,F94
96,F59
98,F95
100,F37
102,OUTW37:0
103,C60
105,C37
107,F1
109,F73
111,F2
113,F74
115,F3
117,F75
119,F4
121,F76
123,F5
125,F77
127,F6
129,F78
131,F7
133,F79
135,F8
137,F80
139,F9
141,F81
143,F10
145,F82
147,F11
149,F83
151,F12
153,F84
155,F13
157,F85
159,F14
161,F86
163,F15
165,F87
167,F16
169,F88
171,F17
173,F89
175,F18
177,F90
179,F19
181,F91
183,F20
185,F92
187,F21
189,F93
191,F22
193,F94
195,F23
197,F95
199,F73
201,OUTW73:0
202,C96
204,C73
206,F1
208,F37
210,F2
212,F38
214,F3
216,F39
218,F4
220,F40
222,F5
224,F41
226,F6
228,F42
230,F7
232,F43
234,F8
236,F44
238,F9
240,F45
242,F10
244,F46
246,F11
248,F47
250,F12
252,F48
254,F13
256,F49
258,F14
260,F50
262,F15
264,F51
266,F16
268,F52
270,F17
272,F53
274,F18
276,F54
278,F19
280,F55
282,F20
284,F56
286,F21
288,F57
290,F22
292,F58
294,F23
296,F59
298,F2
300,OUTW2:0
301,C24
303,C2
305,F37
307,F73
309,F38
311,F74
313,F39
315,F75
317,F40
319,F76
321,F41
323,F77
325,F42
327,F78
329,F43
331,F79
333,F44
335,F80
337,F45
339,F81
341,F46
343,F82
345,F47
347,F83
349,F48
351,F84
353,F49
355,F85
357,F50
359,F86
361,F51
363,F87
365,F52
367,F88
369,F53
371,F89
373,F54
375,F90
377,F55
379,F91
381,F56
383,F92
385,F57
387,F93
389,F58
391,F94
393,F59
395,F95
397,F38
399,OUTW38:0
400,C60
402,C38
404,F1
406,F73
408,F2
410,F74
412,F3
414,F75
416,F4
418,F76
420,F5
422,F77
424,F6
426,F78
428,F7
430,F79
432,F8
434,F80
436,F9
438,F81
440,F10
442,F82
444,F11
446,F83
448,F12
450,F84
452,F13
454,F85
456,F14
458,F86
460,F15
462,F87
464,F16
466,F88
468,F17
470,F89
472,F18
474,F90
476,F19
478,F91
480,F20
482,F92
484,F21
486,F93
488,F22
490,F94
492,F23
494,F95
496,F74
498,OUTW74:0
499,C96
501,C74
503,F1
505,F37
507,F2
509,F38
511,F3
513,F39
515,F4
517,F40
519,F5
521,F41
523,F6
525,F42
527,F7
529,F43
531,F8
533,F44
535,F9
537,F45
539,F10
541,F46
543,F11
545,F47
547,F12
549,F48
551,F13
553,F49
555,F14
557,F50
559,F15
561,F51
563,F16
565,F52
567,F17
569,F53
571,F18
573,F54
575,F19
577,F55
579,F20
581,F56
583,F21
585,F57
587,F22
589,F58
591,F23
593,F59
595,F3
597,OUTW3:0
598,C24
600,C3
602,F37
604,F73
606,F38
608,F74
610,F39
612,F75
614,F40
616,F76
618,F41
620,F77
622,F42
624,F78
626,F43
628,F79
630,F44
632,F80
634,F45
636,F81
638,F46
640,F82
642,F47
644,F83
646,F48
648,F84
650,F49
652,F85
654,F50
656,F86
658,F51
660,F87
662,F52
664,F88
666,F53
668,F89
670,F54
672,F90
674,F55
676,F91
678,F56
680,F92
682,F57
684,F93
686,F58
688,F94
690,F59
692,F95
694,F39
696,OUTW39:0
697,C60
699,C39
701,F1
703,F73
705,F2
707,F74
709,F3
711,F75
713,F4
715,F76
717,F5
719,F77
721,F6
723,F78
725,F7
727,F79
729,F8
731,F80
733,F9
735,F81
737,F10
739,F82
741,F11
743,F83
745,F12
747,F84
749,F13
751,F85
753,F14
755,F86
757,F15
759,F87
761,F16
763,F88
765,F17
767,F89
769,F18
771,F90
773,F19
775,F91
777,F20
779,F92
781,F21
783,F93
785,F22
787,F94
789,F23
791,F95
793,F75
795,OUTW75:0
796,C96
798,C75
800,F1
802,F37
804,F2
806,F38
808,F3
810,F39
812,F4
814,F40
816,F5
818,F41
820,F6
822,F42
824,F7
826,F43
828,F8
830,F44
832,F9
834,F45
836,F10
838,F46
840,F11
842,F47
844,F12
846,F48
848,F13
850,F49
852,F14
854,F50
856,F15
858,F51
860,F16
862,F52
864,F17
866,F53
868,F18
870,F54
872,F19
874,F55
876,F20
878,F56
880,F21
882,F57
884,F22
886,F58
888,F23
890,F59
892,F4
894,OUTW4:0
895,C24
897,C4
899,F37
901,F73
903,F38
905,F74
907,F39
909,F75
911,F40
913,F76
915,F41
917,F77
919,F42
921,F78
923,F43
925,F79
927,F44
929,F80
931,F45
933,F81
935,F46
937,F82
939,F47
941,F83
943,F48
945,F84
947,F49
949,F85
951,F50
953,F86
955,F51
957,F87
959,F52
961,F88
963,F53
965,F89
967,F54
969,F90
971,F55
973,F91
975,F56
977,F92
979,F57
981,F93
983,F58
985,F94
987,F59
989,F95
991,F40
993,OUTW40:0
994,C60
996,C40
998,F1
1000,F73
1002,F2
1004,F74
1006,F3
1008,F75
1010,F4
1012,F76
1014,F5
1016,F77
1018,F6
1020,F78
1022,F7
1024,F79
1026,F8
1028,F80
1030,F9
1032,F81
1034,F10
1036,F82
1038,F11
1040,F83
1042,F12
1044,F84
1046,F13
1048,F85
1050,F14
1052,F86
1054,F15
1056,F87
1058,F16
1060,F88
1062,F17
1064,F89
1066,F18
1068,F90
1070,F19
1072,F91
1074,F20
1076,F92
1078,F21
1080,F93
1082,F22
1084,F94
1086,F23
1088,F95
1090,F76
1092,OUTW76:0
1093,C96
1095,C76
1097,F1
1099,F37
1101,F2
1103,F38
1105,F3
1107,F39
1109,F4
1111,F40
1113,F5
1115,F41
1117,F6
1119,F42
1121,F7
1123,F43
1125,F8
1127,F44
1129,F9
1131,F45
1133,F10
1135,F46
1137,F11
1139,F47
1141,F12
1143,F48
1145,F13
1147,F49
1149,F14
1151,F50
1153,F15
1155,F51
1157,F16
1159,F52
1161,F17
1163,F53
1165,F18
1167,F54
1169,F19
1171,F55
1173,F20
1175,F56
1177,F21
1179,F57
1181,F22
1183,F58
1185,F23
1187,F59
1189,F5
1191,OUTW5:0
1192,C24
1194,C5
1196,F37
1198,F73
1200,F38
1202,F74
1204,F39
1206,F75
1208,F40
1210,F76
1212,F41
1214,F77
1216,F42
1218,F78
1220,F43
1222,F79
1224,F44
1226,F80
1228,F45
1230,F81
1232,F46
1234,F82
1236,F47
1238,F83
1240,F48
1242,F84
1244,F49
1246,F85
1248,F50
1250,F86
1252,F51
1254,F87
1256,F52
1258,F88
1260,F53
1262,F89
1264,F54
1266,F90
1268,F55
1270,F91
1272,F56
1274,F92
1276,F57
1278,F93
1280,F58
1282,F94
1284,F59
1286,F95
1288,F41
1290,OUTW41:0
1291,C60
1293,C41
1295,F1
1297,F73
1299,F2
1301,F74
1303,F3
1305,F75
1307,F4
1309,F76
1311,F5
1313,F77
1315,F6
1317,F78
1319,F7
1321,F79
1323,F8
1325,F80
1327,F9
1329,F81
1331,F10
1333,F82
1335,F11
1337,F83
1339,F12
1341,F84
1343,F13
1345,F85
1347,F14
1349,F86
1351,F15
1353,F87
1355,F16
1357,F88
1359,F17
1361,F89
1363,F18
1365,F90
1367,F19
1369,F91
1371,F20
1373,F92
1375,F21
1377,F93
1379,F22
1381,F94
1383,F23
1385,F95
1387,F77
1389,OUTW77:0
1390,C96
1392,C77
1394,F1
1396,F37
1398,F2
1400,F38
1402,F3
1404,F39
1406,F4
1408,F40
1410,F5
1412,F41
1414,F6
1416,F42
1418,F7
1420,F43
1422,F8
1424,F44
1426,F9
1428,F45
1430,F10
1432,F46
1434,F11
1436,F47
1438,F12
1440,F48
1442,F13
1444,F49
1446,F14
1448,F50
1450,F15
1452,F51
1454,F16
1456,F52
1458,F17
1460,F53
1462,F18
1464,F54
1466,F19
1468,F55
1470,F20
1472,F56
1474,F21
1476,F57
1478,F22
1480,F58
1482,F23
1484,F59
1486,F6
1488,OUTW6:0
1489,C24
1491,C6
1493,F37
1495,F73
1497,F38
1499,F74
1501,F39
1503,F75
1505,F40
1507,F76
1509,F41
1511,F77
1513,F42
1515,F78
1517,F43
1519,F79
1521,F44
1523,F80
1525,F45
1527,F81
1529,F46
1531,F82
1533,F47
1535,F83
1537,F48
1539,F84
1541,F49
1543,F85
1545,F50
1547,F86
1549,F51
1551,F87
1553,F52
1555,F88
1557,F53
1559,F89
1561,F54
1563,F90
1565,F55
1567,F91
1569,F56
1571,F92
1573,F57
1575,F93
1577,F58
1579,F94
1581,F59
1583,F95
1585,F42
1587,OUTW42:0
1588,C60
1590,C42
1592,F1
1594,F73
1596,F2
1598,F74
1600,F3
1602,F75
1604,F4
1606,F76
1608,F5
1610,F77
1612,F6
1614,F78
1616,F7
1618,F79
1620,F8
1622,F80
1624,F9
1626,F81
1628,F10
1630,F82
1632,F11
1634,F83
1636,F12
1638,F84
1640,F13
1642,F85
1644,F14
1646,F86
1648,F15
1650,F87
1652,F16
1654,F88
1656,F17
1658,F89
1660,F18
1662,F90
1664,F19
1666,F91
1668,F20
1670,F92
1672,F21
1674,F93
1676,F22
1678,F94
1680,F23
1682,F95
1684,F78
1686,OUTW78:0
1687,C96
1689,C78
1691,F1
1693,F37
1695,F2
1697,F38
1699,F3
1701,F39
1703,F4
1705,F40
1707,F5
1709,F41
1711,F6
1713,F42
1715,F7
1717,F43
1719,F8
1721,F44
1723,F9
1725,F45
1727,F10
1729,F46
1731,F11
1733,F47
1735,F12
1737,F48
1739,F13
1741,F49
1743,F14
1745,F50
1747,F15
1749,F51
1751,F16
1753,F52
1755,F17
1757,F53
1759,F18
1761,F54
1763,F19
1765,F55
1767,F20
1769,F56
1771,F21
1773,F57
1775,F22
1777,F58
1779,F23
1781,F59
1783,F7
1785,OUTW7:0
1786,C24
1788,C7
1790,F37
1792,F73
1794,F38
1796,F74
1798,F39
1800,F75
1802,F40
1804,F76
1806,F41
1808,F77
1810,F42
1812,F78
1814,F43
1816,F79
1818,F44
1820,F80
1822,F45
1824,F81
1826,F46
1828,F82
1830,F47
1832,F83
1834,F48
1836,F84
1838,F49
1840,F85
1842,F50
1844,F86
1846,F51
1848,F87
1850,F52
1852,F88
1854,F53
1856,F89
1858,F54
1860,F90
1862,F55
1864,F91
1866,F56
1868,F92
1870,F57
1872,F93
1874,F58
1876,F94
1878,F59
1880,F95
1882,F43
1884,OUTW43:0
1885,C60
1887,C43
1889,F1
1891,F73
1893,F2
1895,F74
1897,F3
1899,F75
1901,F4
1903,F76
1905,F5
1907,F77
1909,F6
1911,F78
1913,F7
1915,F79
1917,F8
1919,F80
1921,F9
1923,F81
1925,F10
1927,F82
1929,F11
1931,F83
1933,F12
1935,F84
1937,F13
1939,F85
1941,F14
1943,F86
1945,F15
1947,F87
1949,F16
1951,F88
1953,F17
1955,F89
1957,F18
1959,F90
1961,F19
1963,F91
1965,F20
1967,F92
1969,F21
1971,F93
1973,F22
1975,F94
1977,F23
1979,F95
1981,F79
1983,OUTW79:0
1984,C96
1986,C79
1988,F1
1990,F37
1992,F2
1994,F38
1996,F3
1998,F39
2000,F4
2002,F40
2004,F5
2006,F41
2008,F6
2010,F42
2012,F7
2014,F43
2016,F8
2018,F44
2020,F9
