Time,Actuator
5302,F23
5312,F95
5322,F76
5327,OUTW76:0
5328,C96
5343,C76
5353,F1
5363,F37
5373,F2
5383,F38
5393,F3
5403,F39
5413,F4
5423,F40
5433,F5
5443,F41
5453,F6
5463,F42
5473,F7
5483,F43
5493,F8
5503,F44
5513,F9
5523,F45
5533,F10
5543,F46
5553,F11
5563,F47
5573,F12
5583,F48
5593,F13
5603,F49
5613,F14
5623,F50
5633,F15
5643,F51
5653,F16
5663,F52
5673,F17
5683,F53
5693,F18
5703,F54
5713,F19
5723,F55
5733,F20
5743,F56
5753,F21
5763,F57
5773,F22
5783,F58
5793,F23
5803,F59
5813,F5
5818,OUTW5:0
5819,C24
5834,C5
5844,F37
5854,F73
5864,F38
5874,F74
5884,F39
5894,F75
5904,F40
5914,F76
5924,F41
5934,F77
5944,F42
5954,F78
5964,F43
5974,F79
5984,F44
5994,F80
6004,F45
6014,F46
6024,F82
6034,F47
6044,F83
6054,F48
6064,F84
6074,F49
6084,F85
6094,F50
6104,F86
6114,F51
6124,F87
6134,F52
6144,F88
6154,F53
6164,F89
6174,F54
6184,F90
6194,F55
6204,F91
6214,F56
6224,F92
6234,F57
6244,F93
6254,F58
6264,F94
6274,F59
6284,F95
6294,F41
6299,OUTW41:0
6300,C60
6315,C41
6325,F1
6335,F73
6345,F2
6355,F74
6365,F3
6375,F75
6385,F4
6395,F76
6405,F5
6415,F77
6425,F6
6435,F78
6445,F7
6455,F79
6465,F8
6475,F80
6485,F9
6495,F10
6505,F82
6515,F11
6525,F83
6535,F12
6545,F84
6555,F13
6565,F85
6575,F14
6585,F86
6595,F15
6605,F87
6615,F16
6625,F88
6635,F17
6645,F89
6655,F18
6665,F90
6675,F19
6685,F91
6695,F20
6705,F92
6715,F21
6725,F93
6735,F22
6745,F94
6755,F23
6765,F95
6775,F77
6780,OUTW77:0
6781,C96
6796,C77
6806,F1
6816,F37
6826,F2
6836,F38
6846,F3
6856,F39
6866,F4
6876,F40
6886,F5
6896,F41
6906,F6
6916,F42
6926,F7
6936,F43
6946,F8
6956,F44
6966,F9
6976,F45
6986,F10
6996,F46
7006,F11
7016,F47
7026,F12
7036,F48
7046,F13
7056,F49
7066,F14
7076,F50
7086,F15
7096,F51
7106,F16
7116,F52
7126,F17
7136,F53
7146,F18
7156,F54
7166,F19
7176,F55
7186,F20
7196,F56
7206,F21
7216,F57
7226,F22
7236,F58
7246,F23
7256,F59
7266,F6
7271,OUTW6:0
7272,C24
7287,C6
7297,F37
7307,F73
7317,F38
7327,F74
7337,F39
7347,F75
7357,F40
7367,F76
7377,F41
7387,F77
7397,F42
7407,F78
7417,F43
7427,F79
7437,F44
7447,F80
7457,F45
7467,F46
7477,F82
7487,F47
7497,F83
7507,F48
7517,F84
7527,F49
7537,F85
7547,F50
7557,F86
7567,F51
7577,F87
7587,F52
7597,F88
7607,F53
7617,F89
7627,F54
7637,F90
7647,F55
7657,F91
7667,F56
7677,F92
7687,F57
7697,F93
7707,F58
7717,F94
7727,F59
7737,F95
7747,F42
7752,OUTW42:0
7753,C60
7768,C42
7778,F1
7788,F73
7798,F2
7808,F74
7818,F3
7828,F75
7838,F4
7848,F76
7858,F5
7868,F77
7878,F6
7888,F78
7898,F7
7908,F79
7918,F8
7928,F80
7938,F9
7948,F10
7958,F82
7968,F11
7978,F83
7988,F12
7998,F84
8008,F13
8018,F85
8028,F14
8038,F86
8048,F15
8058,F87
8068,F16
8078,F88
8088,F17
8098,F89
8108,F18
8118,F90
8128,F19
8138,F91
8148,F20
8158,F92
8168,F21
8178,F93
8188,F22
8198,F94
8208,F23
8218,F95
8228,F78
8233,OUTW78:0
8234,C96
8249,C78
8259,F1
8269,F37
8279,F2
8289,F38
8299,F3
8309,F39
8319,F4
8329,F40
8339,F5
8349,F41
8359,F6
8369,F42
8379,F7
8389,F43
8399,F8
8409,F44
8419,F9
8429,F45
8439,F10
8449,F46
8459,F11
8469,F47
8479,F12
8489,F48
8499,F13
8509,F49
8519,F14
8529,F50
8539,F15
8549,F51
8559,F16
8569,F52
8579,F17
8589,F53
8599,F18
8609,F54
8619,F19
8629,F55
8639,F20
8649,F56
8659,F21
8669,F57
8679,F22
8689,F58
8699,F23
8709,F59
8719,F7
8724,OUTW7:0
8725,C24
8740,C7
8750,F37
8760,F73
8770,F38
8780,F74
8790,F39
8800,F75
8810,F40
8820,F76
8830,F41
8840,F77
8850,F42
8860,F78
8870,F43
8880,F79
8890,F44
8900,F80
8910,F45
8920,F46
8930,F82
8940,F47
8950,F83
8960,F48
8970,F84
8980,F49
8990,F85
9000,F50
9010,F86
9020,F51
9030,F87
9040,F52
9050,F88
9060,F53
9070,F89
9080,F54
9090,F90
9100,F55
9110,F91
9120,F56
9130,F92
9140,F57
9150,F93
9160,F58
9170,F94
9180,F59
9190,F95
9200,F43
9205,OUTW43:0
9206,C60
9221,C43
9231,F1
9241,F73
9251,F2
9261,F74
9271,F3
9281,F75
9291,F4
9301,F76
9311,F5
9321,F77
9331,F6
9341,F78
9351,F7
9361,F79
9371,F8
9381,F80
9391,F9
9401,F10
9411,F82
9421,F11
9431,F83
9441,F12
9451,F84
9461,F13
9471,F85
9481,F14
9491,F86
9501,F15
9511,F87
9521,F16
9531,F88
9541,F17
9551,F89
9561,F18
9571,F90
9581,F19
9591,F91
9601,F20
9611,F92
9621,F21
9631,F93
9641,F22
9651,F94
9661,F23
9671,F95
9681,F79
9686,OUTW79:0
9687,C96
9702,C79
9712,F1
9722,F37
9732,F2
9742,F38
9752,F3
9762,F39
9772,F4
9782,F40
9792,F5
9802,F41
9812,F6
9822,F42
9832,F7
9842,F43
9852,F8
9862,F44
9872,F9
9882,F45
9892,F10
