Time,Actuator
1,F1
6,OUTW1:0
7,C24
17,C1
31,F37
45,F73
59,F38
73,F74
87,F39
101,F75
115,F40
129,F76
143,F41
157,F77
171,F42
185,F78
199,F43
213,F79
227,F44
241,F80
255,F45
269,F46
283,F82
297,F47
311,F83
325,F48
339,F84
353,F49
367,F85
381,F50
395,F86
409,F51
423,F87
437,F52
451,F88
465,F53
479,F89
493,F54
507,F90
521,F55
535,F91
549,F56
563,F92
577,F57
591,F93
605,F58
619,F94
633,F59
647,F95
661,F37
666,OUTW37:0
667,C60
677,C37
691,F1
705,F73
719,F2
733,F74
747,F3
761,F75
775,F4
789,F76
803,F5
817,F77
831,F6
845,F78
859,F7
873,F79
887,F8
901,F80
915,F9
929,F10
943,F82
957,F11
971,F83
985,F12
999,F84
1013,F13
1027,F85
1041,F14
1055,F86
1069,F15
1083,F87
1097,F16
1111,F88
1125,F17
1139,F89
1153,F18
1167,F90
1181,F19
1195,F91
1209,F20
1223,F92
1237,F21
1251,F93
1265,F22
1279,F94
1293,F23
1307,F95
1321,F73
1326,OUTW73:0
1327,C96
1337,C73
1351,F1
1365,F37
1379,F2
1393,F38
1407,F3
1421,F39
1435,F4
1449,F40
1463,F5
1477,F41
1491,F6
1505,F42
1519,F7
1533,F43
1547,F8
1561,F44
1575,F9
1589,F45
1603,F10
1617,F46
1631,F11
1645,F47
1659,F12
1673,F48
1687,F13
1701,F49
1715,F14
1729,F50
1743,F15
1757,F51
1771,F16
1785,F52
1799,F17
1813,F53
1827,F18
1841,F54
1855,F19
1869,F55
1883,F20
1897,F56
1911,F21
1925,F57
1939,F22
1953,F58
1967,F23
1981,F59
1995,F2
2000,OUTW2:0
2001,C24
2011,C2
2025,F37
2039,F73
2053,F38
2067,F74
2081,F39
2095,F75
2109,F40
2123,F76
2137,F41
2151,F77
2165,F42
2179,F78
2193,F43
2207,F79
2221,F44
2235,F80
2249,F45
2263,F46
2277,F82
2291,F47
2305,F83
2319,F48
2333,F84
2347,F49
2361,F85
2375,F50
2389,F86
2403,F51
2417,F87
2431,F52
2445,F88
2459,F53
2473,F89
2487,F54
2501,F90
2515,F55
2529,F91
2543,F56
2557,F92
2571,F57
2585,F93
2599,F58
2613,F94
2627,F59
2641,F95
2655,F38
2660,OUTW38:0
2661,C60
2671,C38
2685,F1
2699,F73
2713,F2
2727,F74
2741,F3
2755,F75
2769,F4
2783,F76
2797,F5
2811,F77
2825,F6
2839,F78
2853,F7
2867,F79
2881,F8
2895,F80
2909,F9
2923,F10
2937,F82
2951,F11
2965,F83
2979,F12
2993,F84
3007,F13
3021,F85
3035,F14
3049,F86
3063,F15
3077,F87
3091,F16
3105,F88
3119,F17
3133,F89
3147,F18
3161,F90
3175,F19
3189,F91
3203,F20
3217,F92
3231,F21
3245,F93
3259,F22
3273,F94
3287,F23
3301,F95
3315,F74
3320,OUTW74:0
3321,C96
3331,C74
3345,F1
3359,F37
3373,F2
3387,F38
3401,F3
3415,F39
3429,F4
3443,F40
3457,F5
3471,F41
3485,F6
3499,F42
3513,F7
3527,F43
3541,F8
3555,F44
3569,F9
3583,F45
3597,F10
3611,F46
3625,F11
3639,F47
3653,F12
3667,F48
