Time,Actuator
1,F1
6,OUTW1:0
7,C24
22,C1
27,F37
32,F73
37,F38
42,F74
47,F39
52,F75
57,F40
62,F76
67,F41
72,F77
77,F42
82,F78
87,F43
92,F79
97,F37
102,OUTW37:0
103,C60
118,C37
123,F1
128,F73
133,F2
138,F74
143,F3
148,F75
153,F4
158,F76
163,F5
168,F77
173,F6
178,F78
183,F7
188,F79
193,F73
198,OUTW73:0
199,C96
214,C73
219,F1
224,F37
229,F2
234,F38
239,F3
244,F39
249,F4
254,F40
259,F5
264,F41
269,F6
274,F42
279,F7
284,F43
289,F2
294,OUTW2:0
295,C24
310,C2
315,F37
320,F73
325,F38
330,F74
335,F39
340,F75
345,F40
350,F76
355,F41
360,F77
365,F42
370,F78
375,F43
380,F79
385,F38
390,OUTW38:0
391,C60
406,C38
411,F1
416,F73
421,F2
426,F74
431,F3
436,F75
441,F4
446,F76
451,F5
456,F77
461,F6
466,F78
471,F7
476,F79
481,F74
486,OUTW74:0
487,C96
502,C74
507,F1
512,F37
517,F2
522,F38
527,F3
532,F39
537,F4
542,F40
547,F5
552,F41
557,F6
562,F42
567,F7
572,F43
577,F3
582,OUTW3:0
583,C24
598,C3
603,F37
608,F73
613,F38
618,F74
623,F39
628,F75
633,F40
638,F76
643,F41
648,F77
653,F42
658,F78
663,F43
668,F79
673,F39
678,OUTW39:0
679,C60
694,C39
699,F1
704,F73
709,F2
714,F74
719,F3
724,F75
729,F4
734,F76
739,F5
744,F77
749,F6
754,F78
759,F7
764,F79
769,F75
774,OUTW75:0
775,C96
790,C75
795,F1
800,F37
805,F2
810,F38
815,F3
820,F39
825,F4
830,F40
835,F5
840,F41
845,F6
850,F42
855,F7
860,F43
865,F4
870,OUTW4:0
871,C24
886,C4
891,F37
896,F73
901,F38
906,F74
911,F39
916,F75
921,F40
926,F76
931,F41
936,F77
941,F42
946,F78
951,F43
956,F79
961,F40
966,OUTW40:0
967,C60
982,C40
987,F1
992,F73
997,F2
1002,F74
1007,F3
1012,F75
1017,F4
1022,F76
1027,F5
1032,F77
1037,F6
1042,F78
1047,F7
1052,F79
1057,F76
1062,OUTW76:0
1063,C96
1078,C76
1083,F1
1088,F37
1093,F2
1098,F38
1103,F3
1108,F39
1113,F4
1118,F40
1123,F5
1128,F41
1133,F6
1138,F42
1143,F7
1148,F43
1153,F5
1158,OUTW5:0
1159,C24
1174,C5
1179,F37
1184,F73
1189,F38
1194,F74
1199,F39
1204,F75
1209,F40
1214,F76
1219,F41
1224,F77
1229,F42
1234,F78
1239,F43
1244,F79
1249,F41
1254,OUTW41:0
1255,C60
1270,C41
1275,F1
1280,F73
1285,F2
1290,F74
1295,F3
1300,F75
1305,F4
1310,F76
1315,F5
1320,F77
1325,F6
1330,F78
1335,F7
1340,F79
1345,F77
1350,OUTW77:0
1351,C96
1366,C77
1371,F1
1376,F37
1381,F2
1386,F38
1391,F3
1396,F39
1401,F4
1406,F40
1411,F5
1416,F41
1421,F6
1426,F42
1431,F7
1436,F43
1441,F6
1446,OUTW6:0
1447,C24
1462,C6
1467,F37
1472,F73
1477,F38
1482,F74
1487,F39
1492,F75
1497,F40
1502,F76
1507,F41
1512,F77
1517,F42
1522,F78
1527,F43
1532,F79
1537,F42
1542,OUTW42:0
1543,C60
1558,C42
1563,F1
1568,F73
1573,F2
1578,F74
1583,F3
1588,F75
1593,F4
1598,F76
1603,F5
1608,F77
1613,F6
1618,F78
1623,F7
1628,F79
1633,F78
1638,OUTW78:0
1639,C96
1654,C78
1659,F1
1664,F37
1669,F2
1674,F38
1679,F3
1684,F39
1689,F4
1694,F40
1699,F5
1704,F41
1709,F6
1714,F42
1719,F7
1724,F43
1729,F7
1734,OUTW7:0
1735,C24
1750,C7
1755,F37
1760,F73
1765,F38
1770,F74
1775,F39
1780,F75
1785,F40
1790,F76
1795,F41
1800,F77
1805,F42
1810,F78
1815,F43
1820,F79
1825,F43
1830,OUTW43:0
1831,C60
1846,C43
1851,F1
1856,F73
1861,F2
1866,F74
1871,F3
1876,F75
1881,F4
1886,F76
1891,F5
1896,F77
1901,F6
1906,F78
1911,F7
1916,F79
1921,F79
1926,OUTW79:0
1927,C96
1942,C79
1947,F1
1952,F37
1957,F2
1962,F38
1967,F3
1972,F39
1977,F4
1982,F40
1987,F5
1992,F41
1997,F6
2002,F42
2007,F7
2012,F43
